episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/pol/allreduce_latency,info/learner/pol/cur_kl_coeff,info/learner/pol/cur_lr,info/learner/pol/total_loss,info/learner/pol/policy_loss,info/learner/pol/vf_loss,info/learner/pol/vf_explained_var,info/learner/pol/kl,info/learner/pol/entropy,info/learner/pol/entropy_coeff
0.0,-1.0,-0.7037037037037037,2982.5185185185187,1,0,84000,False,27,21,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-31-59,1619775119,83.57668113708496,1711.0853798389435,46748,Hinton,143.248.157.211,1711.0853798389435,0,21,e55d3_00000,"[-1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0]","[1609, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677, 2875, 1603, 5002, 2352, 5002]",57670.581,69.359,29863.129,133.944,84000,84000,54.15593220338981,72.91101694915253,0.0,0.22500000000000003,5e-05,-0.020625088131055236,-0.026141539972741157,0.0029153462919566664,0.686288,0.011560467959498055,1.3536635413765907,0.0
0.0,-1.0,-0.6785714285714286,3054.6428571428573,1,0,88000,False,28,22,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-33-24,1619775204,84.86417031288147,1795.949550151825,46748,Hinton,143.248.157.211,1795.949550151825,0,22,e55d3_00000,"[0.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0]","[5002, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677, 2875, 1603, 5002, 2352, 5002, 1609]",57460.134,69.613,29674.68,134.795,88000,88000,54.46280991735537,72.74876033057852,0.0,0.22500000000000003,5e-05,-0.006670255505014211,-0.009544780041323975,3.7691841825449046e-06,0.06852728,0.012758913275320083,1.384289100766182,0.0
0.0,-1.0,-0.6551724137931034,3121.793103448276,1,0,92000,False,29,23,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-34-55,1619775295,90.62610650062561,1886.5756566524506,46748,Hinton,143.248.157.211,1886.5756566524506,0,23,e55d3_00000,"[0.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, 0.0]","[5002, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677, 2875, 1603, 5002, 2352, 5002, 1609, 5002]",57220.759,69.905,29744.761,134.477,92000,92000,54.42248062015504,72.94031007751937,0.0,0.22500000000000003,5e-05,-0.024130730889737606,-0.027740561752580106,5.353543119923643e-07,0.0128900055,0.016041322029195726,1.2677718326449394,0.0
0.0,-1.0,-0.6333333333333333,3184.4666666666667,1,0,96000,False,30,24,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-36-20,1619775380,84.68204092979431,1971.2576975822449,46748,Hinton,143.248.157.211,1971.2576975822449,0,24,e55d3_00000,"[0.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, 0.0, 0.0]","[5002, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677, 2875, 1603, 5002, 2352, 5002, 1609, 5002, 5002]",56885.002,70.317,28820.981,138.788,96000,96000,54.39,72.70333333333335,0.0,0.22500000000000003,5e-05,-0.010412831034045666,-0.012930132856126875,1.502984814383268e-07,-0.02577139,0.011187364085344598,1.2988736778497696,0.0
0.0,-1.0,-0.6333333333333333,3184.4666666666667,0,0,100000,False,30,25,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-37-44,1619775464,84.35567927360535,2055.61337685585,46748,Hinton,143.248.157.211,2055.61337685585,0,25,e55d3_00000,"[-1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0]","[4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677, 2875, 1603, 5002, 2352, 5002, 1609, 5002, 5002, 5002]",56968.471,70.214,27647.151,144.68,100000,100000,54.03916666666667,72.8733333333333,0.0,0.22500000000000003,5e-05,-0.009901321725919843,-0.012475822761189193,2.809419533456037e-06,-0.015989263,0.011429739010054618,1.3077655956149101,0.0
0.0,-1.0,-0.6129032258064516,3243.0967741935483,1,0,104000,False,31,26,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-39-08,1619775548,83.55967330932617,2139.1730501651764,46748,Hinton,143.248.157.211,2139.1730501651764,0,26,e55d3_00000,"[0.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0]","[5002, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677, 2875, 1603, 5002, 2352, 5002, 1609, 5002, 5002, 5002]",57031.771,70.136,27547.461,145.204,104000,104000,54.315126050420176,72.72521008403358,0.0,0.22500000000000003,5e-05,-0.0037828266504220665,-0.007158361200708896,1.5412887188759328e-06,0.010304155,0.014995522855315357,1.2159573026001453,0.0
0.0,-1.0,-0.59375,3298.0625,1,0,108000,False,32,27,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-40-35,1619775635,87.13772511482239,2226.310775279999,46748,Hinton,143.248.157.211,2226.310775279999,0,27,e55d3_00000,"[0.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0]","[5002, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677, 2875, 1603, 5002, 2352, 5002, 1609, 5002, 5002, 5002, 5002]",57399.123,69.687,27786.983,143.952,108000,108000,53.326829268292684,72.42357723577234,0.0,0.22500000000000003,5e-05,-0.009534529992379248,-0.01179053686792031,6.719130574150967e-07,0.015391938,0.010023727110819891,1.2624233588576317,0.0
0.0,-1.0,-0.5757575757575758,3349.6969696969695,1,0,112000,False,33,28,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-42-03,1619775723,88.12106704711914,2314.431842327118,46748,Hinton,143.248.157.211,2314.431842327118,0,28,e55d3_00000,"[0.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5002, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677, 2875, 1603, 5002, 2352, 5002, 1609, 5002, 5002, 5002, 5002, 5002]",57436.942,69.642,27899.124,143.374,112000,112000,50.23333333333333,70.50714285714284,0.0,0.22500000000000003,5e-05,-0.005462304630782455,-0.006629069219343364,1.226898108663832e-06,0.00035394356,0.005180186941288412,1.2433218359947205,0.0
0.0,-1.0,-0.5588235294117647,3398.294117647059,1,0,116000,False,34,29,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-43-26,1619775806,82.52209639549255,2396.9539387226105,46748,Hinton,143.248.157.211,2396.9539387226105,0,29,e55d3_00000,"[0.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5002, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677, 2875, 1603, 5002, 2352, 5002, 1609, 5002, 5002, 5002, 5002, 5002, 5002]",57407.084,69.678,27710.481,144.35,116000,116000,50.54957264957266,70.43675213675212,0.0,0.22500000000000003,5e-05,-0.0009632142609916627,-0.0020895806374028325,8.535519524510704e-08,-0.0029199645,0.0050057162952725776,1.224665705114603,0.0
0.0,-1.0,-0.5588235294117647,3398.294117647059,0,0,120000,False,34,30,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-44-50,1619775890,83.78457140922546,2480.738510131836,46748,Hinton,143.248.157.211,2480.738510131836,0,30,e55d3_00000,"[-1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677, 2875, 1603, 5002, 2352, 5002, 1609, 5002, 5002, 5002, 5002, 5002, 5002, 5002]",57490.141,69.577,27831.074,143.724,120000,120000,50.629411764705885,70.46302521008404,0.0,0.22500000000000003,5e-05,-0.010138398793060333,-0.011365513550117612,7.940086479973907e-08,-4.9268827e-05,0.005453518722788431,1.208343766629696,0.0
